id3	sample_id	sample_type	purity_ascat	purity_absolute	purity_remixt	purity_purple	purity_estimate	purity_hatchet	ploidy_ascat	ploidy_absolute	ploidy_remixt	ploidy_purple	ploidy_hatchet
HCM-CSHL-0818-C56	HCM-CSHL-0818-C56-85P	M	1	0.99	0.98237206	1	1	0.983541	2.65	2.89	2.832476658	2.88	5.573921439
HCM-CSHL-0835-C20	HCM-CSHL-0835-C20-85N	M	1	0.99	0.99	0.99	1	0.972819	2.1	2.2	1.87	2.2	2.191341611
HCM-CSHL-0839-C34	HCM-CSHL-0839-C34-85M	M	0.95	0.99	0.99	1	1	0.989002	2	2.05	2.08	2.04	2.055113049
HCM-CSHL-0853-C56	HCM-CSHL-0853-C56-85G	M	0.99	0.99	0.990276328	1	1	0.989273	1.65	1.72	1.722406029	1.72	3.525252039
HCM-CSHL-0881-C20	HCM-CSHL-0881-C20-85B	M	1	0.99	0.98	1	1	0.364865	1.95	1.88	3.79	1.9	1.82103439
HCM-CSHL-1268-C24	HCM-CSHL-1268-C24-85M	M	1	0.99	0.988713321	0.99	0.99	0.99997	2.05	2.12	1.952471986	2.14	2.154330285
HCM-SANG-0265-C18	HCM-SANG-0265-C18-85A	M	0.97	0.99	0.99	1	1	0.992417	2.9	2.72	2.74	2.7	5.359901069
HCM-SANG-0267-D12	HCM-SANG-0267-D12-85A	M	0.48	0.99	0.34	1	1	0.506864	2.25	2.27	2.72	2.28	2.556627023
HCM-SANG-0270-C20	HCM-SANG-0270-C20-85A	M	1	0.99	0.98	0.99	1	0.984867	2.25	2.2	2.19	2.22	2.245898291
HCM-SANG-0273-C18	HCM-SANG-0273-C18-85A	M	0.99	0.99	defer	0.75	0.99	0.365091	1.95	2.05	defer	2.06	2.14072735
HCM-SANG-0275-C18	HCM-SANG-0275-C18-85A	M	0.99	0.99	0.99	0.99	1	0.976353	2.5	2.51	2.44	2.52	2.535399387
HCM-SANG-0276-C18	HCM-SANG-0276-C18-85A	M	1	0.99	defer	0.94	1	0.0837104	2.05	2.03	defer	2.06	3.481832048
HCM-SANG-0277-C18	HCM-SANG-0277-C18-85A	M	0.95	0.99	0.99	1	0.99	0.998086	2	2.07	2.05	2.1	2.074512334
HCM-SANG-0296-C15	HCM-SANG-0296-C15-85A	M	0.98	0.99	0.98	1	0.99	0.975434	3.35	1.57	2.13	1.58	3.266402561
HCM-SANG-0300-C15	HCM-SANG-0300-C15-85A	M	0.97	0.99	0.99	1	1	0.990133	3	1.73	3.33	1.7	3.479127579
HCM-SANG-0307-C15	HCM-SANG-0307-C15-85A	M	0.98	0.99	0.99	1	0.98	0.9878	4.85	2.56	2.52	2.56	2.626112264
HCM-SANG-0313-C15	HCM-SANG-0313-C15-85A	M	0.99	0.99	0.98	1	0.99	0.966883	3.1	2.8	2.64	2.86	2.883749452
HCM-STAN-0627-C34	HCM-STAN-0627-C34-85A	M	0.98	0.99	0.99	1	1	0.993195	1.75	1.93	1.79	1.86	1.966376855
HCM-STAN-0777-C25	HCM-STAN-0777-C25-85A	M	0.96	0.99	0.989672026	0.99	1	0.976215	2.7	2.83	3.039489881	2.8	2.832647998
HCM-STAN-0777-C25	HCM-STAN-0777-C25-85S	M	1	0.99	0.990754454	0.99	1	0.959121	2.7	2.86	2.819481404	2.86	2.912833796
HCM-STAN-0846-C20	HCM-STAN-0846-C20-85A	M	0.99	0.99	NA	1	0.99	0.388216	1.8	1.9	NA	1.86	2.397585085
HCM-WCMC-0502-C15	HCM-WCMC-0502-C15-85A	M	1	0.99	0.99	0.99	0.99	0.871799	2.35	2.48	2.38	2.48	2.525774736
HCM-WCMC-0504-C18	HCM-WCMC-0504-C18-85A	M	0.83	0.99	0.99	1	1	0.994198	2.05	2.05	2.54	2.06	2.051576678
HCM-WCMC-0747-C50	HCM-WCMC-0747-C50-85A	M	1	0.99	1	1	0.99	1	2	2.01	2.02	2.02	2.022104541
HCM-SANG-0281-C18	HCM-SANG-0281-C18-85A	M	0.95	0.99	0.98	0.97	1	0.957968	2.55	2.56	2.51	3.95	2.576227065
HCM-SANG-0286-C20	HCM-SANG-0286-C20-85A	M	1	0.99	NA	0.97	1	0.483456	2.75	2.46	NA	3.1	5.59579673
HCM-SANG-0299-C15	HCM-SANG-0299-C15-85A	M	1	0.99	0.986325681	0.5	0.98	0.994541	2.8	2.77	2.728325708	1.48	2.794700823
HCM-SANG-0517-C20	HCM-SANG-0517-C20-85A	M	0.95	0.99	0.982837809	1	NA	0.952061	3.1	3	2.885082697	3	3.013185943
HCM-SANG-0525-C18	HCM-SANG-0525-C18-85A	M	1	0.99	0.992022778	1	NA	0.994303	2.05	2.01	2.000982954	2	2.017382353
HCM-SANG-0526-C15	HCM-SANG-0526-C15-85A	M	1	0.99	NA	1	NA	0.999988	2.7	2.89	NA	2.88	2.928830396
HCM-SANG-0529-C18	HCM-SANG-0529-C18-85A	M	0.97	0.99	0.984270583	0.99	NA	0.975476	2.9	2.97	2.713913897	3	2.98467076
HCM-SANG-0530-C15	HCM-SANG-0530-C15-85A	M	1	0.99	0.987479773	0.99	NA	0.980629	2.4	2.56	2.639998957	2.5	2.538425035
HCM-SANG-0532-C20	HCM-SANG-0532-C20-85A	M	1	0.99	0.98629995	1	NA	0.963883	2.35	2.29	2.262962868	2.3	2.284321016
HCM-SANG-0534-C18	HCM-SANG-0534-C18-85A	M	0.99	0.99	0.982025464	1	NA	0.987273	3.1	1.62	3.262143035	1.6	3.247055336
HCM-SANG-0543-C15	HCM-SANG-0543-C15-85A	M	0.99	0.99	0.988988168	0.99	NA	1	2.6	2.75	2.872252539	2.74	2.764427529
HCM-SANG-0544-C15	HCM-SANG-0544-C15-85A	M	0.98	0.99	0.985825323	0.99	NA	0.991359	2.55	2.64	2.603159878	2.66	5.194538882
HCM-SANG-0546-C15	HCM-SANG-0546-C15-85A	M	0.98	0.99	0.988174467	0.99	NA	0.925791	2.5	2.75	2.731015322	2.62	2.68374598
HCM-SANG-0548-C25	HCM-SANG-0548-C25-85A	M	0.94	0.99	0.986643429	0.99	NA	0.994603	2.7	2.92	2.908326325	2.96	3.035783292
HCM-SANG-1082-C15	HCM-SANG-1082-C15-85A	M	1	0.99	0.988992069	1	NA	0.94513	2.7	2.86	2.899296675	2.86	2.847836081
HCM-SANG-1083-C16	HCM-SANG-1083-C16-85A	M	0.99	0.99	0.990396899	1	NA	1	2.55	2.59	2.591611196	2.58	2.665570502
HCM-SANG-1085-C20	HCM-SANG-1085-C20-85A	M	1	0.99	0.991299039	1	NA	1	1.8	1.9	1.894238186	1.94	2.0013846
HCM-SANG-1087-C18	HCM-SANG-1087-C18-85A	M	0.96	0.99	0.982556151	0.99	NA	0.97769	2.15	2.27	2.205040699	2.26	2.258808192
HCM-SANG-1089-C18	HCM-SANG-1089-C18-85A	M	0.99	0.99	0.992253964	1	NA	1	2.1	2.12	1.762717915	2.12	2.117219224
HCM-SANG-1092-C18	HCM-SANG-1092-C18-85A	M	1	0.99	0.991469923	1	NA	0.994926	2	2.12	2.095740226	2.1	2.122814601
HCM-SANG-1094-C16	HCM-SANG-1094-C16-85A	M	0.96	0.99	0.965607172	0.99	NA	0.910344	5	2.72	2.671965263	2.7	2.797348461
HCM-SANG-1095-C25	HCM-SANG-1095-C25-85A	M	0.99	0.99	0.989191966	0.99	NA	0.973097	2.35	2.48	2.735180617	2.46	2.532798654
HCM-SANG-1299-C15	HCM-SANG-1299-C15-85A	M	0.98	0.99	0.9910882	1	NA	0.977801	2.75	2.92	2.931047701	2.9	2.938726052
