case,tumor_id,tumor_n_wgd,tumor_fraction_diploid,model_id,model_type,model_n_wgd,model_fraction_diploid,cancer_type,loh_union,loh_match,loh_shared,loh_model,loh_tumor,cn_equal,cn_equal_wgd,cn_mean_sq_diff,cn_mean_sq_diff_wgd,cn_correlation,tumor_consensus_purity,tumor_consensus_ploidy,model_consensus_purity,model_consensus_ploidy,is_wgd_tumor,is_wgd_model,wgd_status
HCM-BROD-0234-C49,HCM-BROD-0234-C49-06A,2,0.014979459304307267,HCM-BROD-0234-C49-85M,model,2,0.022567856053674902,SARC,0.18470480598460792,0.6851204351204351,0.9418402310604022,0.0567784295786018,0.0013813393609959995,0.7162040678727947,0.7162040678727947,0.37654043525489755,0.37654043525489755,0.9245767453216336,0.76,4.8025,0.968,4.665,True,True,Both WGD
HCM-BROD-0235-C16,HCM-BROD-0235-C16-06A,2,0.10776240962990868,HCM-BROD-0235-C16-85B,model,2,0.10770859121324651,STAD,0.44940171860143874,0.9600415153087701,0.982042588307052,0.002278312972032363,0.01567909872091563,0.9061134163208852,0.9061134163208852,0.11396957123098202,0.11396957123098202,0.9531970031123557,0.834561,3.272292756,0.989881167,3.285756826,True,True,Both WGD
HCM-BROD-0339-C43,HCM-BROD-0339-C43-06A,1,0.0016683709165276357,HCM-BROD-0339-C43-85M,model,1,0.08372351685413415,SKCM,0.7367382451608274,0.9632317132560632,0.9729113969467018,0.003426439194158908,0.023662163859139263,0.8026327885128054,0.8026327885128054,0.2193009872956923,0.2193009872956923,0.8783384559501802,0.2369376,2.103333333,0.991908167,2.539539216,True,True,Both WGD
HCM-BROD-0415-C71,HCM-BROD-0415-C71-02B,0,0.8156719229320274,HCM-BROD-0415-C71-85R,model,0,0.8184884200706816,GBM,0.09958201029725705,0.9848675914249685,0.998493084333459,0.0005202446944010907,0.0009866709721399996,0.9892959991306395,0.9892959991306395,0.012678173618531867,0.012678173618531867,0.9645421428125059,0.868570833,1.982977864,0.994,1.990947239,False,False,Both diploid
HCM-BROD-0416-C71,HCM-BROD-0416-C71-01A,0,0.78589239904562,HCM-BROD-0416-C71-85B,model,0,0.789318838239779,GBM,0.10128626015822614,0.9484590860786397,0.9947796135837683,0.0015607340832032722,0.0036596523330283625,0.9439557631943938,0.9439557631943938,0.06759617490327761,0.06759617490327761,0.8338342412397296,0.951662,2.098501515,0.99,2.086506356,False,False,Both diploid
HCM-BROD-0417-C71,HCM-BROD-0417-C71-01A,0,0.7296342141614194,HCM-BROD-0417-C71-85A,model,1,0.014279819887698903,GBM,0.21373087203774466,0.8761960718482458,0.9735392784744272,0.023608345442477082,0.002852376083095635,0.039366599153010495,0.5175105873688087,2.54520346160928,0.6518689007549254,0.8175425944000616,0.832335333,1.86748665,0.9919915,3.28485832,False,True,Model WGD
HCM-BROD-0418-C71,HCM-BROD-0418-C71-01A,0,0.7612615036865615,HCM-BROD-0418-C71-85B,model,1,0.0009149130832570906,GBM,0.11280340132393304,0.9087150127226463,0.9897027429453026,0.00597384424950218,0.004323412805195271,0.004804804804804805,0.7532441532441533,4.11982891982892,0.2693238693238693,0.9207051051511356,0.675475525,2.019434296,0.982118082,3.926388851,False,True,Model WGD
HCM-BROD-0420-C71,HCM-BROD-0420-C71-02B,0,0.8254489352923237,HCM-BROD-0420-C71-85R,model,0,0.6715820820551459,GBM,0.2514934610623755,0.4107282973107925,0.8518020199845721,0.1372369624885636,0.01096101752686436,0.8021435059037239,0.8021435059037239,0.22717529518619436,0.22717529518619436,0.5497768717542435,0.540605333,1.913467516,0.994919167,1.808373652,False,False,Both diploid
HCM-BROD-0421-C71,HCM-BROD-0421-C71-01B,2,0.00028703155553163625,HCM-BROD-0421-C71-85A,model,2,0.0003408499721938181,GBM,0.3995658647722584,0.985677726395187,0.994277308361588,0.002368010333135999,0.003354681305275999,0.5605033526223937,0.5605033526223937,0.4993478460549279,0.4993478460549279,0.9043194103251675,0.654375333,4.836039787,0.976943667,4.649550487,True,True,Both WGD
HCM-BROD-0423-C71,HCM-BROD-0423-C71-01A,0,0.6303751143641354,HCM-BROD-0423-C71-85D,model,0,0.774124105268823,GBM,0.15636043987585885,0.898577329050023,0.984141506556877,0.014943580359865812,0.0009149130832570906,0.7032887473076436,0.7032887473076436,0.29924523520787705,0.29924523520787705,0.39973668712727406,0.806855333,2.216039338,0.993665,1.915268641,False,False,Both diploid
HCM-BROD-0444-C43,HCM-BROD-0444-C43-06A,0,0.6994241429417146,HCM-BROD-0444-C43-85O,model,0,0.6931991460811223,SKCM,0.13897709129397412,0.4535949399767652,0.9240622140896615,0.07541754121593743,0.0005202446944010907,0.8634318707538751,0.8634318707538751,0.1383348815183141,0.1383348815183141,0.9075233110590938,0.655875167,2.322994376,0.964,2.184876418,False,False,Both diploid
HCM-BROD-0448-C15,HCM-BROD-0448-C15-06A,1,0.014190122526595267,HCM-BROD-0448-C15-85M,model,1,0.010978956999085087,ESCA,0.4855497551262042,0.9643094657503879,0.9826704698347775,0.0030855892219650897,0.01424394094325745,0.8736010410857037,0.8736010410857037,0.14223833426287413,0.14223833426287413,0.9355581082775246,0.1689798,3.213333333,0.987769167,3.1425,True,True,Both WGD
HCM-BROD-0455-C71,HCM-BROD-0455-C71-01A,0,0.7598622248533449,HCM-BROD-0455-C71-85A,model,2,0.00023321313886945447,GBM,0.15298781909836212,0.7314727954971857,0.9589186086145346,0.03923362574673053,0.0018477656387349084,0.0006394329143525285,7.307804735457468e-05,6.466786027477346,17.951366559485532,0.6096031145276588,0.782,2.0075,0.976,4.4,False,True,Model WGD
