cancer_type,gene,event,note,count
UCEC,TERC,hlamp,model-only,1
UCEC,TET2,missense,both,1
UCEC,TET2,missense,tumor-only,1
UCEC,SPTA1,missense,both,1
UCEC,SPTA1,missense,model-only,1
UCEC,SPTAN1,missense,both,1
UCEC,STAG2,missense,both,1
AMPV,EP300,truncating,both,1
AMPV,EPHA3,truncating,both,1
AMPV,ESR1,insertion,both,1
AMPV,FLNA,missense,both,1
AMPV,BRCA2,truncating,model-only,1
AMPV,RPL22,truncating,both,1
AMPV,SETD2,missense,model-only,1
AMPV,SMARCA4,missense,both,1
COAD,GNAS,missense,tumor-only,1
COAD,GPS2,truncating,both,1
COAD,GRIN2D,truncating,model-only,1
COAD,FOXA2,missense,both,1
COAD,FUBP1,deletion,model-only,1
COAD,FUBP1,missense,tumor-only,1
COAD,GATA3,truncating,model-only,1
COAD,GNA11,missense,both,1
COAD,IGF2,hlamp,both,1
COAD,IGF2,hlamp,model-only,1
COAD,LATS2,insertion,both,1
COAD,LEMD2,missense,both,1
COAD,LEMD2,truncating,both,1
COAD,HLA-B,missense,both,1
COAD,HLA-B,truncating,model-only,1
COAD,HRAS,missense,both,1
COAD,KANSL1,missense,both,1
COAD,KDM6A,truncating,both,1
COAD,INPPL1,missense,model-only,1
COAD,IRF2,truncating,both,1
COAD,JAK1,missense,model-only,1
COAD,HUWE1,deletion,both,1
COAD,HUWE1,truncating,both,1
COAD,IDH1,missense,model-only,1
WT,PPP2R2A,hlamp,both,1
WT,RIT1,hlamp,model-only,1
WT,SF3B1,missense,both,1
COAD,KEL,truncating,tumor-only,1
COAD,KIF1A,missense,model-only,1
COAD,KIF1A,truncating,both,1
COAD,JAK2,truncating,both,1
COAD,JAK3,missense,both,1
COAD,MSH6,truncating,both,1
COAD,FBXW7,missense,tumor-only,1
COAD,FGFR1,hlamp,model-only,1
COAD,ERCC2,missense,both,1
COAD,ERCC2,missense,model-only,1
COAD,ESR1,missense,both,1
